well_id,lat,long,aquifer_id
14,18.0138,-76.8429,2
15,18.1204,-77.6873,5
21,18.4557,-77.9205,7
23,17.9741,-76.8085,2
31,18.0185,-77.84,5
35,17.9602,-76.9129,3
37,18.1023,-77.6742,5
38,18.0171,-76.9114,3
39,17.952,-76.965,3
41,17.9388,-76.9763,3
48,18.068,-77.6468,5
50,17.9858,-76.8733,3
53,17.9728,-76.807,2
56,17.9469,-77.0475,3
61,18.1182,-77.6763,5
63,18.337,-78.3109,6
65,17.9653,-76.9292,3
67,18.2641,-76.7908,10
72,17.9567,-76.9482,3
75,18.0022,-76.8938,3
76,18.252,-78.2643,6
79,17.9547,-76.9286,3
82,18.0133,-76.8392,2
83,18.4515,-77.8982,7
84,17.953512,-77.047656,3
87,18.1241,-77.7221,5
91,17.9314,-77.071,3
92,18.3468,-78.2822,6
96,18.3428,-78.3,6
98,17.9784,-76.9017,3
101,17.9064,-76.435,1
102,18.3632,-78.2955,6
110,18.0625,-77.7078,5
111,18.3044,-78.2986,6
112,17.967,-77.8208,5
115,18.1302,-77.7079,5
117,18.001,-76.8801,3
120,17.9608,-76.9182,3
122,17.9406,-76.9755,3
123,18.3514,-78.2934,6
131,17.9924,-77.7626,5
132,18.2469,-78.2301,6
134,17.9855,-76.9063,3
137,17.9496,-76.9132,3
138,17.9706,-77.8153,5
142,18.364,-78.273,7
144,18.0036,-77.7718,5
146,18.0315,-76.8982,3
147,17.967,-76.9086,3
150,18.0432,-77.9193,6
155,18.3522,-78.2911,6
156,17.8218,-77.2152,4
158,17.9648,-76.8818,3
160,18.2789,-78.3442,6
161,18.3538,-78.3044,6
162,18.3578,-78.2863,6
163,18.414,-77.0733,9
170,17.8838,-77.7663,5
173,17.96,-76.9381,3
176,18.3896,-77.7479,8
178,18.2537,-76.7646,10
182,18.2022,-76.5663,10
185,17.9723,-76.7458,2
188,18.079,-77.7107,5
190,17.9867,-77.8131,5
191,17.9745,-76.8889,3
194,17.9886,-77.7373,5
195,18.0594,-77.7151,5
197,17.8832,-76.4268,1
199,17.9998,-76.9701,3
201,17.8749,-77.1513,4
202,17.875,-77.1513,4
203,18.2991,-78.2961,6
204,17.9588,-76.9123,3
205,18.0709,-77.6812,5
206,18.271,-78.2554,6
213,18.508,-77.7326,8
214,17.8993,-76.4297,1
215,18.075,-77.7093,5
216,17.9281,-77.2576,4
217,17.9253,-77.2576,4
218,17.8852,-76.4248,1
225,17.9761,-76.881,3
226,17.9761,-76.881,3
230,18.2625,-76.8087,10
234,18.2484,-76.7663,10
236,18.2664,-76.8577,10
237,18.2338,-78.1455,6
240,17.9716,-77.7485,5
243,18.1001,-77.7449,5
245,18.2793,-78.2906,6
246,17.8851,-76.4241,1
249,17.8265,-77.2382,4
251,17.9252,-77.1035,3
